-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                     MERRA-2 Surface Pressure (kPa) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1984,46.25,-83.75,98.83,98.4,98.74,98.45,98.35,98.4,98.49,98.62,98.85,99.04,98.64,98.54,98.61
PS,1984,46.25,-84.25,99.1,98.66,99.02,98.71,98.62,98.64,98.75,98.87,99.09,99.28,98.9,98.81,98.87
PS,1984,46.25,-84.75,99.25,98.8,99.18,98.86,98.77,98.78,98.9,99.01,99.23,99.4,99.04,98.95,99.01
PS,1984,46.25,-85.25,99.29,98.84,99.24,98.91,98.82,98.82,98.94,99.05,99.27,99.42,99.07,99.0,99.06
PS,1984,46.25,-85.75,99.27,98.81,99.22,98.88,98.81,98.78,98.92,99.02,99.24,99.37,99.04,98.98,99.03
PS,1984,46.25,-86.25,99.22,98.76,99.18,98.83,98.76,98.73,98.87,98.97,99.18,99.29,98.99,98.93,98.98
PS,1984,46.25,-86.75,99.14,98.68,99.11,98.76,98.68,98.63,98.79,98.89,99.09,99.18,98.89,98.85,98.89
PS,1984,46.25,-87.25,98.47,98.02,98.46,98.12,98.05,98.0,98.17,98.27,98.45,98.52,98.24,98.18,98.25
PS,1984,46.25,-87.75,97.56,97.13,97.56,97.24,97.18,97.14,97.34,97.42,97.59,97.63,97.34,97.28,97.37
PS,1984,46.25,-88.25,96.73,96.32,96.75,96.44,96.4,96.37,96.59,96.66,96.81,96.82,96.53,96.46,96.58
PS,1984,46.75,-83.75,97.08,96.72,97.06,96.87,96.72,96.8,96.9,97.06,97.23,97.41,96.96,96.82,96.97
PS,1984,46.75,-84.25,97.95,97.56,97.93,97.68,97.55,97.6,97.71,97.84,98.03,98.21,97.8,97.67,97.79
PS,1984,46.75,-84.75,98.79,98.38,98.78,98.48,98.36,98.37,98.49,98.61,98.81,98.98,98.6,98.5,98.6
PS,1984,46.75,-85.25,99.25,98.83,99.26,98.93,98.81,98.79,98.92,99.03,99.24,99.39,99.04,98.95,99.04
PS,1984,46.75,-85.75,99.3,98.89,99.33,99.0,98.87,98.84,98.98,99.09,99.29,99.42,99.09,99.01,99.09
PS,1984,46.75,-86.25,99.29,98.88,99.34,99.0,98.87,98.82,98.97,99.08,99.27,99.39,99.07,99.0,99.08
PS,1984,46.75,-86.75,99.37,98.95,99.42,99.06,98.94,98.87,99.03,99.13,99.33,99.42,99.13,99.08,99.14
PS,1984,46.75,-87.25,98.96,98.54,99.02,98.67,98.54,98.47,98.64,98.74,98.92,98.99,98.71,98.66,98.74
PS,1984,46.75,-87.75,98.31,97.9,98.38,98.04,97.91,97.85,98.04,98.13,98.3,98.34,98.07,98.01,98.11
PS,1984,46.75,-88.25,97.75,97.34,97.83,97.48,97.37,97.31,97.52,97.6,97.76,97.77,97.51,97.46,97.56
PS,1984,47.25,-83.75,96.05,95.75,96.11,95.98,95.78,95.87,95.98,96.15,96.29,96.45,95.98,95.81,96.02
PS,1984,47.25,-84.25,96.89,96.56,96.93,96.74,96.57,96.62,96.74,96.9,97.05,97.21,96.77,96.62,96.8
PS,1984,47.25,-84.75,98.23,97.87,98.28,98.01,97.84,97.86,97.98,98.12,98.29,98.45,98.06,97.94,98.08
PS,1984,47.25,-85.25,99.22,98.85,99.29,98.97,98.8,98.78,98.91,99.03,99.22,99.37,99.02,98.92,99.03
PS,1984,47.25,-85.75,99.58,99.21,99.68,99.33,99.16,99.11,99.25,99.37,99.56,99.7,99.37,99.28,99.38
PS,1984,47.25,-86.25,99.58,99.21,99.69,99.35,99.17,99.1,99.25,99.37,99.56,99.68,99.36,99.28,99.38
PS,1984,47.25,-86.75,99.61,99.22,99.72,99.37,99.19,99.11,99.26,99.37,99.57,99.67,99.37,99.31,99.4
PS,1984,47.25,-87.25,99.52,99.13,99.64,99.27,99.09,99.01,99.17,99.27,99.46,99.54,99.27,99.22,99.3
PS,1984,47.25,-87.75,99.31,98.91,99.43,99.05,98.87,98.78,98.95,99.05,99.24,99.29,99.04,99.0,99.08
PS,1984,47.25,-88.25,99.09,98.68,99.21,98.82,98.64,98.54,98.73,98.82,99.0,99.03,98.8,98.77,98.85
PS,1984,47.75,-83.75,96.23,95.94,96.33,96.19,95.94,96.0,96.1,96.3,96.43,96.6,96.13,95.97,96.18
PS,1984,47.75,-84.25,96.68,96.38,96.79,96.61,96.38,96.42,96.53,96.72,96.85,97.01,96.56,96.42,96.61
PS,1984,47.75,-84.75,97.53,97.21,97.64,97.41,97.19,97.2,97.32,97.49,97.63,97.79,97.38,97.25,97.42
PS,1984,47.75,-85.25,98.31,97.97,98.43,98.15,97.93,97.92,98.04,98.19,98.36,98.51,98.12,98.01,98.16
PS,1984,47.75,-85.75,98.84,98.5,98.98,98.67,98.45,98.41,98.54,98.68,98.85,98.99,98.64,98.54,98.68
PS,1984,47.75,-86.25,99.27,98.92,99.42,99.08,98.86,98.81,98.94,99.07,99.25,99.38,99.05,98.97,99.09
PS,1984,47.75,-86.75,99.52,99.16,99.69,99.33,99.1,99.03,99.17,99.29,99.48,99.58,99.28,99.22,99.32
PS,1984,47.75,-87.25,99.59,99.23,99.76,99.39,99.15,99.07,99.21,99.34,99.52,99.61,99.33,99.28,99.38
PS,1984,47.75,-87.75,99.56,99.18,99.73,99.34,99.1,99.01,99.16,99.28,99.47,99.53,99.27,99.24,99.32
PS,1984,47.75,-88.25,99.51,99.12,99.68,99.27,99.03,98.94,99.1,99.21,99.4,99.44,99.2,99.19,99.26
PS,1984,48.25,-83.75,96.91,96.62,97.05,96.87,96.57,96.59,96.67,96.89,97.03,97.21,96.75,96.63,96.82
PS,1984,48.25,-84.25,96.99,96.7,97.14,96.95,96.66,96.68,96.77,96.97,97.11,97.28,96.83,96.72,96.9
PS,1984,48.25,-84.75,96.91,96.63,97.08,96.89,96.6,96.62,96.72,96.91,97.04,97.19,96.76,96.64,96.83
PS,1984,48.25,-85.25,97.06,96.78,97.24,97.03,96.75,96.76,96.87,97.06,97.18,97.32,96.9,96.79,96.98
PS,1984,48.25,-85.75,97.68,97.38,97.86,97.6,97.34,97.33,97.45,97.61,97.75,97.88,97.49,97.4,97.56
PS,1984,48.25,-86.25,98.84,98.51,99.02,98.7,98.43,98.38,98.51,98.66,98.82,98.94,98.6,98.53,98.66
PS,1984,48.25,-86.75,99.3,98.95,99.49,99.14,98.86,98.8,98.92,99.06,99.24,99.35,99.03,98.99,99.09
PS,1984,48.25,-87.25,99.44,99.09,99.65,99.27,98.99,98.92,99.04,99.18,99.36,99.45,99.15,99.13,99.22
PS,1984,48.25,-87.75,99.5,99.13,99.7,99.31,99.02,98.94,99.07,99.2,99.39,99.46,99.18,99.18,99.26
PS,1984,48.25,-88.25,99.47,99.09,99.68,99.27,98.98,98.89,99.02,99.15,99.33,99.39,99.13,99.15,99.21
PS,1985,46.25,-83.75,98.18,98.71,98.66,98.32,98.27,98.31,98.47,98.81,98.91,98.83,98.86,98.15,98.54
PS,1985,46.25,-84.25,98.46,98.99,98.93,98.58,98.53,98.57,98.73,99.05,99.14,99.08,99.12,98.43,98.8
PS,1985,46.25,-84.75,98.63,99.16,99.07,98.72,98.67,98.72,98.87,99.18,99.27,99.21,99.26,98.59,98.94
PS,1985,46.25,-85.25,98.69,99.22,99.11,98.76,98.7,98.77,98.92,99.22,99.29,99.23,99.3,98.65,98.99
PS,1985,46.25,-85.75,98.69,99.21,99.08,98.73,98.67,98.75,98.89,99.18,99.25,99.2,99.28,98.65,98.96
PS,1985,46.25,-86.25,98.66,99.17,99.03,98.68,98.62,98.7,98.84,99.12,99.18,99.13,99.24,98.62,98.91
PS,1985,46.25,-86.75,98.61,99.1,98.94,98.59,98.52,98.61,98.75,99.03,99.08,99.03,99.16,98.57,98.83
PS,1985,46.25,-87.25,97.97,98.44,98.28,97.94,97.88,97.99,98.13,98.4,98.44,98.38,98.51,97.92,98.19
PS,1985,46.25,-87.75,97.08,97.53,97.39,97.06,97.01,97.13,97.29,97.55,97.58,97.5,97.62,97.03,97.31
PS,1985,46.25,-88.25,96.28,96.71,96.57,96.26,96.22,96.36,96.53,96.77,96.79,96.7,96.81,96.23,96.52
PS,1985,46.75,-83.75,96.46,96.98,96.99,96.69,96.67,96.7,96.88,97.23,97.31,97.18,97.2,96.43,96.89
PS,1985,46.75,-84.25,97.34,97.86,97.84,97.51,97.48,97.52,97.69,98.02,98.09,97.99,98.03,97.29,97.72
PS,1985,46.75,-84.75,98.19,98.72,98.66,98.31,98.26,98.31,98.47,98.79,98.85,98.77,98.84,98.13,98.52
PS,1985,46.75,-85.25,98.67,99.2,99.11,98.75,98.69,98.74,98.89,99.2,99.26,99.19,99.29,98.59,98.96
PS,1985,46.75,-85.75,98.75,99.27,99.17,98.81,98.75,98.81,98.95,99.25,99.3,99.24,99.35,98.67,99.02
PS,1985,46.75,-86.25,98.76,99.28,99.16,98.8,98.73,98.8,98.94,99.23,99.28,99.21,99.35,98.69,99.02
PS,1985,46.75,-86.75,98.86,99.36,99.22,98.85,98.78,98.86,99.0,99.27,99.32,99.26,99.42,98.78,99.08
PS,1985,46.75,-87.25,98.47,98.96,98.81,98.44,98.38,98.46,98.6,98.87,98.91,98.84,99.02,98.4,98.68
PS,1985,46.75,-87.75,97.86,98.32,98.17,97.81,97.75,97.84,97.99,98.25,98.28,98.2,98.38,97.77,98.05
PS,1985,46.75,-88.25,97.33,97.76,97.6,97.26,97.2,97.3,97.47,97.71,97.74,97.65,97.83,97.24,97.5
PS,1985,47.25,-83.75,95.48,95.99,96.03,95.75,95.75,95.76,95.95,96.32,96.37,96.21,96.24,95.43,95.94
PS,1985,47.25,-84.25,96.32,96.82,96.84,96.53,96.51,96.54,96.72,97.07,97.12,96.98,97.03,96.25,96.73
PS,1985,47.25,-84.75,97.67,98.18,98.15,97.81,97.76,97.79,97.96,98.29,98.34,98.24,98.32,97.58,98.0
PS,1985,47.25,-85.25,98.68,99.19,99.13,98.76,98.7,98.73,98.88,99.2,99.25,99.17,99.29,98.58,98.96
PS,1985,47.25,-85.75,99.06,99.58,99.49,99.11,99.04,99.08,99.22,99.53,99.58,99.5,99.65,98.95,99.31
PS,1985,47.25,-86.25,99.08,99.59,99.49,99.11,99.04,99.08,99.22,99.52,99.56,99.49,99.66,98.97,99.32
PS,1985,47.25,-86.75,99.13,99.63,99.51,99.13,99.05,99.09,99.23,99.52,99.56,99.49,99.69,99.02,99.33
PS,1985,47.25,-87.25,99.06,99.55,99.41,99.02,98.94,98.99,99.14,99.41,99.45,99.37,99.6,98.96,99.24
PS,1985,47.25,-87.75,98.88,99.34,99.18,98.79,98.71,98.77,98.92,99.18,99.22,99.14,99.38,98.77,99.02
